respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.05688550596394553,0.29578137789036435
26708,0.047435626490645054,0.04546461333457004
26709,0.4063521462988457,0.5928311989411406
26710,0.4867382415415182,0.8776613391681063
26711,0.15695216663660366,0.47386037804279474
26712,0.4588770674344545,0.9241490208519938
26713,0.3650794718982763,0.597662240620621
26714,0.14215638783266393,0.21857788305322692
26715,0.04554351102669591,0.16363889876467483
26716,0.21633097997336234,0.8881761596230092
26717,0.011072674834575507,0.26665061582344846
26718,0.22239378484599767,0.5505880060776149
26719,0.07002361308195378,0.919332495321865
26720,0.06502564877814415,0.2216193508390249
26721,0.3204116081526155,0.34818308173674456
26722,0.07954959469275448,0.09436118591062037
26723,0.6604344613735055,0.8561649898220391
26724,0.11958917071635798,0.6353039300043428
26725,0.025558791158529753,0.06553818041581765
26726,0.014483366948438381,0.033532241256493144
26727,0.3501760420778182,0.848526523882124
26728,0.17326236831016045,0.6032792664466086
26729,0.4470984050807593,0.918979197464972
26730,0.03741019986696362,0.1986004132852775
26731,0.018734668471755915,0.3392222593647307
26732,0.09477410819990499,0.07552202052507484
26733,0.9177200762900444,0.9558423368416332
26734,0.8862496518341353,0.3790224506101616
26735,0.16339928449187222,0.4882086099886765
26736,0.057331582610784915,0.16578615320744644
26737,0.08042478247636513,0.10489437083706138
26738,0.579367227881132,0.8341101918267668
26739,0.12240588850174378,0.2950858770112142
26740,0.12169810197081024,0.12878622193530584
26741,0.20344879689075482,0.9024118731187457
26742,0.1068666908280971,0.4448002942628703
26743,0.05025853758758221,0.5876524731521148
26744,0.05865248455088632,0.6618370366010495
26745,0.09737569504063037,0.9345590815191969
26746,0.12278582288793131,0.3483708788802926
26747,0.06813111254802313,0.17838850308594736
26748,0.10664110236035691,0.035882098190678086
26749,0.11093657030565302,0.7087437184055774
26750,0.688548941145503,0.9336503656855182
26751,0.3029140080371308,0.7250427309849978
26752,0.02436787594679533,0.01900488417773855
26753,0.2142460985787143,0.6845021721140819
26754,0.13344599988599967,0.648064690762129
26755,0.10139557721687717,0.3772069724826028
26756,0.018532323545192877,0.03240199428197435
26757,0.36768010588408206,0.50123464926533
26758,0.7290966764303265,0.9034795869718956
